"Step","CFR_300r_1e_FAWE - local_eval_accuracy","CFR_300r_1e_FAWE - local_eval_accuracy__MIN","CFR_300r_1e_FAWE - local_eval_accuracy__MAX"
"1383","0.8984","0.8984","0.8984"
"1386","0.8984","0.8984","0.8984"
"1388","0.9044","0.9044","0.9044"
"1391","0.8924","0.8924","0.8924"
"1393","0.8928","0.8928","0.8928"
"1396","0.8972","0.8972","0.8972"
"1398","0.9052","0.9052","0.9052"
"1401","0.8992","0.8992","0.8992"
"1403","0.9028","0.9028","0.9028"
"1406","0.8912","0.8912","0.8912"
"1408","0.8772","0.8772","0.8772"
"1411","0.8944","0.8944","0.8944"
"1413","0.894","0.894","0.894"
"1416","0.9036","0.9036","0.9036"
"1418","0.8888","0.8888","0.8888"
"1421","0.8912","0.8912","0.8912"
"1423","0.9052","0.9052","0.9052"
"1426","0.8976","0.8976","0.8976"
"1428","0.9","0.9","0.9"
"1431","0.898","0.898","0.898"
"1433","0.8964","0.8964","0.8964"
"1436","0.9012","0.9012","0.9012"
"1438","0.896","0.896","0.896"
"1441","0.898","0.898","0.898"
"1443","0.9076","0.9076","0.9076"
"1446","0.9036","0.9036","0.9036"
"1448","0.8936","0.8936","0.8936"
"1451","0.9024","0.9024","0.9024"
"1453","0.8948","0.8948","0.8948"
"1456","0.8972","0.8972","0.8972"
"1458","0.8972","0.8972","0.8972"
"1461","0.9016","0.9016","0.9016"
"1463","0.8972","0.8972","0.8972"
"1466","0.904","0.904","0.904"
"1468","0.902","0.902","0.902"
"1471","0.9092","0.9092","0.9092"
"1473","0.8984","0.8984","0.8984"
"1476","0.9076","0.9076","0.9076"
"1478","0.8944","0.8944","0.8944"
"1481","0.894","0.894","0.894"
"1483","0.904","0.904","0.904"
"1486","0.91","0.91","0.91"
"1488","0.9","0.9","0.9"
"1491","0.9112","0.9112","0.9112"
"1493","0.9024","0.9024","0.9024"
"1496","0.8944","0.8944","0.8944"
"1498","0.898","0.898","0.898"
